id,str
3227,[141,176,231]
3228,[127,176,231]
3229,[118,142,231]
3230,[131,143,233]
3231,[127,142,233]
3232,[142,173,231]
3233,[142,180,231]
3234,[135,142,231]
3235,[142,199,231]
3236,[173,199,231]
3237,[152,231]
3238,[127,228,230]
3239,[126,130]
3240,[127,130,228]
3241,[156,171,172]
3242,[132,143,233]
3243,[126,127,152]
3244,[126,127,206]
3245,[130,143]
3246,[142,176,230]
3247,[126,143,206]
3248,[152,171,233]
3249,[130,152]
3250,[127,176,231]
3251,[75,212,230,235]
3986,[71,84,93,99,147,148,197]
4000,[379]
4001,[201,203,204,335]
4002,[200,259,268,269,357]
4003,[204,251,266,352]
4004,[202,238,274]
4005,[200,202,363]
4006,[119,366]
4007,[48,164,185,207,232,264,357]
4008,[117,152,231,303]
4009,[45,114,160,168,185,263,291]
4010,[157,163,165,166,188,259,292]
4011,[45,152,212,337]
4012,[48,159,168,187,189,272,292]
4013,[116,117,150,157,183,261,357]
4014,[115,165,186,196,207,269,292]
4015,[49,152,231,334]
4016,[200,258,263,264,274]
4017,[167,189,207,270,304]
4018,[148,162,167,188,361]
4019,[257,258,271,272,357]
4020,[154,262,263,267,268,272,379]
4021,[157,158,186,194,213,268,274]
4022,[115,129,164,184,189,272,274]
4023,[154,157,161,162,164,166,379]
4024,[44,233,236,334]
4025,[154,234,261,264,269,271,379]
4026,[44,129,147,158,161,272,288]
4027,[155,262,264,269,270,272,288]
4028,[233,343]
4029,[206,233,264,343]
4030,[205,251,329]
4031,[205,293]
4032,[157,231,235,343]
4033,[180,199,343]
4034,[191,247,372]
4035,[192,247,298]
4036,[203,251,265,336]
4037,[202,238,357]
4038,[47,116,148,151,158,190,288]
4039,[174,237,352]
4040,[177,237,336]
4041,[179,360]
4042,[177,373]
4043,[174,177,358]
4044,[274]
4045,[240,259,306]
4046,[265,373]
4047,[192,254,371]
4048,[201,376]
4049,[181,202,292]
4050,[122,181,357]
4051,[181,361]
4052,[191,226,380]
4053,[189,239,253,306]
4054,[49,240,241,339]
4055,[301]
4056,[192,245,369]
4057,[191,245,365]
4058,[201,265,266,358]
4059,[231,343]
4060,[199,231,343]
4061,[203,375]
4062,[288]
4063,[357]
4064,[200,238,260,345]
4065,[126,301]
4066,[126,305]
4067,[127,301]
4068,[127,305]
4069,[128,129,194,267,379]
4070,[128,246,338]
4071,[129,236,252,343]
4073,[130,301]
4076,[132,301]
4078,[133,301]
4080,[134,303]
4084,[136,303]
4086,[137,301]
4087,[137,305]
4090,[301]
4094,[114,147,162,189,213,267,361]
4098,[40,152,333]
4100,[44,242,246,339]
4102,[154,231,233,333]
4103,[154,240,242,338]
4104,[206,301]
4105,[206,207,230,303]
4106,[206,208,305]
4107,[208,209,308]
4108,[208,255,354]
4109,[208,210,314]
4110,[208,224,307]
4111,[211,324]
4112,[230,301]
4113,[132,230,303]
4114,[230,239,305]
4115,[239,308]
4116,[239,354]
4117,[239,314]
4118,[239,307]
4119,[324]
4120,[176,233,283]
4121,[207,208,239,306]
4122,[146,233,334]
4123,[209,224,310]
