[R81Add]
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 
57 64 4 66 59 74 22 9 76 11 12 38 71 41 16 80 18 19 51 24 25 23 5 73 43 77 28 79 30 31 10 54 34 35 67 37 56 39 40 29 42 13 20 45 81 47 48 17 50 70 52 53 46 55 26 27 58 7 60 1 62 63 33 65 14 21 68 69 61 44 72 2 3 75 32 36 78 6 8 49 15 
58 65 66 21 60 75 23 76 36 12 38 39 72 42 80 49 19 51 52 73 43 5 59 3 20 78 79 8 31 10 11 55 35 67 68 56 27 40 29 30 13 71 24 81 15 48 17 18 70 44 53 46 47 26 77 28 7 22 1 57 63 33 34 14 41 25 69 61 62 45 2 64 4 32 54 37 6 74 9 50 16 
59 71 24 73 22 77 57 28 79 30 31 10 41 64 45 81 47 48 17 25 4 58 7 43 66 54 37 56 39 40 29 74 62 63 33 9 76 11 12 38 65 14 21 50 70 52 53 46 16 80 18 19 51 75 32 36 60 1 23 5 68 69 61 72 2 3 34 35 67 49 42 13 20 78 6 8 55 26 27 15 44 
60 72 73 3 23 78 58 79 8 31 10 11 42 65 81 15 48 17 18 43 66 7 22 20 21 55 56 27 40 29 30 75 63 33 34 76 36 12 38 39 14 41 25 70 44 53 46 47 80 49 19 51 52 32 54 37 1 57 5 59 69 61 62 2 64 4 35 67 68 50 13 71 24 6 74 9 26 77 28 16 45 
61 10 6 74 67 17 33 7 22 15 16 80 29 38 14 41 21 25 43 26 32 34 35 77 54 46 1 57 44 45 81 51 36 37 56 5 59 49 50 70 39 40 55 2 64 3 4 66 13 71 20 24 73 52 53 60 62 63 68 69 8 9 76 11 12 75 27 28 79 72 30 31 78 18 19 23 47 48 58 42 65 
62 11 74 75 68 18 34 22 23 16 80 49 30 39 41 42 25 43 20 77 54 35 67 78 55 47 57 58 45 81 15 52 37 56 27 59 60 50 70 44 40 29 26 64 65 4 66 21 71 72 24 73 3 53 46 1 63 33 69 61 9 76 36 12 38 32 28 79 8 2 31 10 6 19 51 5 48 17 7 13 14 
63 12 75 32 69 19 35 23 5 80 49 50 31 40 42 13 43 20 24 78 55 67 68 6 26 48 58 7 81 15 16 53 56 27 28 60 1 70 44 45 29 30 77 65 14 66 21 25 72 2 73 3 4 46 47 57 33 34 61 62 76 36 37 38 39 54 79 8 9 64 10 11 74 51 52 59 17 18 22 71 41 
64 74 9 76 71 22 41 16 80 18 19 51 77 54 25 43 34 35 67 28 37 42 13 79 56 57 45 81 47 48 17 59 39 40 29 50 70 52 53 46 55 26 27 4 66 62 63 33 24 73 68 69 61 60 1 44 65 14 72 2 11 12 38 75 32 36 30 31 10 3 78 6 8 23 5 49 58 7 15 20 21 
65 75 76 36 72 23 42 80 49 19 51 52 78 55 43 20 35 67 68 79 56 13 71 8 27 58 81 15 48 17 18 60 40 29 30 70 44 53 46 47 26 77 28 66 21 63 33 34 73 3 69 61 62 1 57 45 14 41 2 64 12 38 39 32 54 37 31 10 11 4 6 74 9 5 59 50 7 22 16 24 25 
66 76 12 38 73 80 43 19 51 23 5 59 79 56 35 67 42 13 71 31 40 20 24 10 29 81 48 17 58 7 22 70 55 26 77 53 46 60 1 57 27 28 30 63 33 65 14 41 69 61 72 2 64 44 45 47 21 25 3 4 75 32 54 36 37 39 78 6 74 62 8 9 11 49 50 52 15 16 18 68 34 
67 29 26 77 33 46 61 1 57 44 45 81 38 10 2 64 3 4 66 32 6 62 63 54 74 51 5 59 49 50 70 17 8 9 76 7 22 15 16 80 11 12 75 13 71 20 24 73 14 41 21 25 43 18 19 23 68 69 34 35 27 28 79 30 31 78 36 37 56 42 39 40 55 47 48 58 52 53 60 65 72 
